Dream Symbol,Interpretation
Adult,"If you are a child or teenager and dream that you are an adult, then it implies that you need to be more mature about some situation. Perhaps you have some growing up that you need to do. Alternatively, the dream may be reinforcing your sense of responsibility."
Adultery,"To dream that you commit adultery or have an affair signifies your sexual urges and desires that are longing to be expressed. Alternatively, it indicates self-betrayal of your subconscious. You may find yourself entangled in a situation that is not in your best interest, perhaps even illegal."
Baby,"To see a baby in your dream signifies innocence, warmth and new beginnings. Babies symbolize something in your own inner nature that is pure, vulnerable, helpless and/or uncorrupted. If you dream that the baby is smiling at you, then it suggests that you are experiencing pure joy. You do not ask for much to make you happy. If you find a baby in your dream, then it suggests that you have acknowledged your hidden potential. If you dream that you forgot you had a baby, then it suggests that you are trying hide your own vulnerabilities; you do not want to let others know of your weaknesses. Alternatively, forgetting about a baby represents an aspect of yourself that you have abandoned or put aside due to life's changing circumstances. The dream may serve as a reminder that it is time for you to pick up that old interest, hobby, or project again. Dreaming of holding a baby is analogous to holding onto an earlier part of your life where you felt more depended on and more needed."
Baby Carriage,"To see a baby carriage in your dream symbolizes your desire for a family or longing for a baby. If the baby carriage is empty, then it indicates sadness or an unfulfilled goal. Alternatively, it suggests that you need to cater to the needs of your own inner child."
Baby Clothes,"To see baby clothes in your dream suggests that you are expressing yourself in a more subtle way. Alternatively, baby clothes represent your former ways of thinking or old habits which you have outgrown."
Baby Shower,To dream of a baby shower suggests that you are welcoming a new start. You are given a chance to start over again and do things differently this time around. You have a new found faith in life itself.
Babysitter,To dream that you are babysitting suggests that you need to care for the child within yourself.
Bachelor,"To meet a bachelor in your dream suggests that you are seeking freedom in your love life.Â  For a man to dream that he is a bachelor indicates that he is having difficulty with gaining his own sense of self or freedom in a relationship. Alternatively, the bachelor represents your masculine side."
Back,"To dream of your back represents your attitudes, strengths, burdens and stance in the world. It may also relate to stress and pressure that someone is putting on you."
Backpacking,To dream that you are backpacking symbolizes your self-sufficiency and survival skills. You may be reflecting on all the obstacles and adversities that you have overcame.
Backseat,"To dream that you are sitting in the backseat of a car suggests that you are no longer in control of your life.Â  You may be feeling overpowered, dominated and being told what to do. You need to start taking back control of your life."
Backstage,"To dream that you are backstage symbolizes opportunities and access. You need to make sure to take advantage of this limited time opportunity. Alternatively, the dream indicates that there are aspects of yourself that you are reluctant to express or show. Â Or it may also mean that you need to look at some situation or problem from a new perspective."
Backward,"To dream that you are walking or moving backwards indicates that your current course of action may be counter-productive. Whatever you are looking for in life seems to be moving away from you. Thus, you may feel a sense of failure or belief that you are unable to achieve your goals and aspirations. On the other hand, moving backwards in your dream indicate that you need to back off or retreat from a situation that you are currently facing in your waking life."
Backyard,"To dream about your backyard represents your childhood memories or your subconscious. Alternatively, dreaming of your backyard refers to the secrets you are keeping. There are some aspects of your life which you want to keep hidden and out of the view of others. The dream also represents some aspect of your life that you have taken for granted. Consider also the phrase ""not in my backyard."" In other words, everything is okay as long as it does not happen to you or occur in your own home. The condition of the yard is also symbolic of how well you maintain and balance aspects of your life."
Badminton,To play or watch a badminton game in your dream indicates that you need to make a decision quickly or else opportunities will pass you by.Â  You need to learn to keep up.
Bag,"To see a bag in your dream represents the responsibilities that you carry. If the bag is ripped or torn, then it indicates that you are carrying a lot of burden. The symbol may be a metaphor for an ""old bag"" and refer to someone who is old."
Bagel,"To see or eat a bagel in your dreamÂ  suggests that there is key element missing from your life. You are not completely whole.Â  Alternatively, it refers to sexual urges."
Bait,To see bait in your dream suggests that you may be fishing for a deal or a compliment. It may also indicate your desire to lure or entice someone.
Baking,"To dream that you are baking represents your creative self and your ability to make things happen. If you are mixingÂ  ingredients together that you normally would not combine, then it suggests that you need to find a connection between two seemingly different things. Perhaps these things that seem incompatible may yield surprisingly but positive results."
Balaclava,"To see or wear a balaclava in your dream refers to a sinister or painful secret you are keeping. This secret is creating a burden for you and becoming too hard to keep. Alternatively, wearing a balaclava refers to your desire for anonymity in a situation."
Balcony,"To see or dream that you are on a balcony refers to your desire to be seen and noticed.Â  You are searching for prestige and higher status. It may also mean that you are on your way up the social ladder. If the balcony is clean, then it indicates that you are looked up to by others. If the balcony is old, then it suggests that your public image is in need of repair.Â Alternatively, the balcony could signify your ambivalence regarding a situation.Â You are feeling torn or undecided."
Bald,"To dream that you are going bald suggests a lack of self-esteem or worries about getting older. Alternatively, baldness symbolizes humility, purity, and personal sacrifice. You are at a stage in your life where you are confident in fully exposing yourself."
Ball,"To see or play with a ball in your dream symbolizes completeness and wholeness. It may also indicate that you need to be more in tune with the inner child within. The dream may also be a metaphor for the testicles. Consider also the phrase, ""he's got balls"" to indicate guts and strength."
Ball Pit,"To see a ball pit in your dream symbolizes celebration, joy and youth, especially if there are children playing inside it. It is a reminder to be more carefree and spontaneous."
Ballerina,"To dream that you are a ballerina suggests that you are moving through the obstacles of your life effortlessly. You feel unrestricted. It is also a symbol of innocence, frailty, and vulnerability. Alternatively, you may feel unable to attain and measure up to society's ideals of beauty."
Ballet,"To dream that you are watching a ballet symbolizes balance, cooperation, and harmony."
Balloon,To see balloons in your dream indicate declining hopes and disappointments in your search for love. A situation in your life will take a turn downward. Balloons also represent arrogance and an inflated opinion of yourself.
Bamboo,"To see bamboo in your dream symbolizes trustworthiness, strength and resilience. You are able to easily bounce back from setbacks and disappointments in your life. Alternatively, it refers to strong ties/bonds and fair dealings."
Band,To see a band or play with a band in your dream represents a sense of community and belonging. The dream may also be a pun on banding together and need for cooperation/unity.
Bank,To see a bank in your dream denotes your desires for financial security. The dream may be trying to offer reassurance and that your fears of financial instability are unfounded.
Bankrupt,"To dream that you are bankrupt indicates that you need to start taking measures to protectÂ  yourself and your resources. You may be feeling emotionally drained or physically overworked. The dream may be a sign of depression. Alternatively, to dream that you are bankrupt symbolizes feelings of insecurity."
Banquet,To dream that you are at a banquet indicates that you are emotionally malnourished. You are seeking emotional stimulation.
Baptism,"To see a baby being baptized in your dream represents renewal, a new way of being, a new attitude toward life, or a new approach toward others."
Bar,"To dream that you are at a public bar signifies your desire to escape from the stresses of your daily life and retreat into a light-hearted environment where pleasure abounds. Alternatively, you are seeking acceptance in some aspect of your daily life.Â  The dream may also be a pun on being ""barred"" from some place or something. You are feeling excluded or held back by circumstances beyond your control."
Bar Mitzvah,"ToÂ dream that you are at a bar mitzvah or bat mitzvah ceremony represents a transitional phase into adulthood.Â  It indicates your social responsibilities, sense of morality, mental reasoning, and hopes."
Barbarian,"To see or dream that you are aÂ  barbarian represents the savage and instinctual aspect of your character. Perhaps you are being a little too rough or brash.Â Alternatively, the dream may also refer to your sexuality and your wild side."
Barbecue,To dream of a barbecue refers to a minor issue or transformation occurring in your waking life.
Barbed Wire,To see barbed wire in your dream represents difficulty in breaking through or getting your point across to someone.
Barbie Doll,"To see a Barbie doll in your dream represents society's ideals.Â  You may feel that you are unable to meet the expectations of others.Â  Alternatively, the Barbie doll refers to the desire to escape from daily responsibilities. It may serve to bring you back to your childhood where life was much simpler and more carefree."
Barcode,"To see a barcode in your dream symbolizes automation, simplification and ease. Alternatively, the dream represents an impersonal relationship in your wakingÂ  life. You are feeling alienated."
Bareback,"To dream that you are riding bareback represents your ability to balance several difficult tasks at once. Alternatively, to ride bareback in your dream also means that you give your all into a project or relationship. You don't take the easy route when it comes to doing things."
Bargain,To dream that you are bargaining for something indicates that you are being undervalued. Perhaps you are not putting in as much effort into a project or relationship as you should be.Â  Consider the symbolism of the item and how you feel about it in your dream.
Bark,"To hear barking in your dream suggests that you are annoying those around you with grumpiness and fussiness. The dream may also be analogous to your tendency of barking orders at people, instead of asking or talking kindly. Alternatively, barking refers to unhappy and disgruntled companions."
Barrette,"To see or wear a barrette in your dream indicates that you are open to a new idea. Alternatively, you are ready to show the world a whole new you."
Barrier,To see a barrier in your dream represents an obstacle to your emotional growth. You may feel hindered in fully expressing yourself.Â  The dream may also indicate your resistance to change.
Barrister,"To see a barrister with a white wig in your dreamÂ symbolizes wisdom and knowledge. The barrister may be a variation of the ""wise old man"" figure. You are looking for guidance and help in some area of your life.Â  Perhaps you are making an important decision."
Cab,To dream that you are hailing a cab suggests that you need to ask for help in order to be able to move forward in some waking situation. To dream that you are in a cab indicates that you are being taken for a ride. Someone is taking advantage of you. 
Cabana,To see or dream that you are in a cabana signifies your need for an escape or vacation. You may be feeling overwhelmed by a waking problem and need some downtime. Cabaret To watch a cabaret in your dream indicates your need to acknowledge your sensual side.
Cabbage,"To see or eat cabbage in your dream suggests that you should not waste time with petty things in your life. You live and thrive on life's challenges. Alternatively, the dream refers to your unwise choices or decisions. You need to rethink some of your decisions."
Cabinet,"To see a cabinet in your dream symbolizes the female body and/or the womb. Alternatively, you may be hiding some family or personal secret. Consider the contents and condition of the cabinet for more clues."
"Cable
Car","To see or ride in a cable car in your dream signifies the compromises that you make in life. Sometimes you have to go along with the masses in order to maintain the peace. Alternatively, the dream represents life's journey. You are headed in the right direction."
Caboose,"To see or be in a caboose implies that you are last in line for something. You are feeling shortchanged. Alternatively, dreaming of a caboose serves as a reminder that you will eventually get to where you need. It is not always about being first or finishing first."
Cactus,"To see a cactus in your dream suggests that you are feeling invaded, that your space is being crowded into and that you are being suffocated.Â  The prickly spines of the cactus represent the boundary you are trying to establish between your personal and private. Or you feel the need to defend yourself in some way. Alternatively, the dream implies thatÂ  you have found yourself in a sticky situation. Perhaps you need to adapt to your existing circumstances instead of trying to change them."
Cadaver,To dream that you are dissecting a cadaver indicates that you are ready to reveal or expose an aspect of yourself that you have been hiding.
Cadillac,To see a Cadillac in your dream suggests that you are driven to succeed. Your ambition will take you far in life.
Caduceus ,To see a caduceus in your dream symbolizes health concerns. The dream may be telling you that you need to take better care of yourself. 
Caesarian Section\ C Section,To dream that you are having a caesarian section implies that you need help in order to get your idea or project off the ground. You can not do it by yourself. A more direct interpretation of this dream may represent your anxieties of having a C-section in real life.
Cafe ,To dream that you are at a cafe represents your social life. The dream is telling you that it is time to call up old friends and catch up with what they are all up to. 
Cafeteria ,"To dream that you are in a cafeteria denotes that there may be a lot of issues ""eating"" you up inside. "
Cage,"To dream that you are in a cage indicates that you are experiencing inhibitions and powerlessness in some areas of your life. You are feeling restricted, confined and restrained in a current relationship or business deal. Somebody may be keeping a short leash on you, where you are lacking the freedom to act independently."
Cake,"To see a cake in your dream indicates that you need to learn to share and allocate your workload instead of trying to do everything yourself.Â  Cakes also symbolize selfishness or the feeling of not getting your fair share. More positively, the dream may represent your accomplishments and achievements. Consider also the metaphor a ""piece of cake"" or some situation that is easy."
Calamari ,"To dream that you are eating calamari indicates that you are feeling battered or beaten. However, you are tough. Hang in there! "
Calculator,"To see a calculator in your dream suggests that you need to thoroughly think through some problem and carefully evaluate your choices.Â  You need to lay out some sort of plan or outline. The symbol may also be a metaphor for someone who is ""calculating"", cunning and scheming."
Calendar ,"To see a calendar in your dream represents the passing of time and past events. The dream may also be a reminder of a special event, appointment or important date in your waking life. "
Calf,To see a calf in your dream symbolizes immaturity and inexperience. You need to develop certain qualities.
California,"Known as the Golden State, to dream of California, refers to your desire for instant wealth. It may also suggests that you are looking for fame. If you live in California, then the dream may just be a reflection of your reality."
Caliper,"To see or use a caliper in your dream reflects your concerns about not measuring up to the standards or expectations of others. Alternatively, dreaming of a caliper means that you need to be careful in making a decision or judgment."
Calla lilies,"To see calla lilies in your dream symbolize new beginnings, rebirth and longevity. In particular, a white calla lily represents purity, simplicity or elegance. Alternatively, the calla lily refers to a commitment."
Calling Card,"To see or use a calling card in your dream indicates that there is someone that you need to reach out to. If the calling card has the name of someone you know on it, then it means that their presence is with your spiritually, even though they may not be with you physically. Something in your waking life is reminding you of this person."
Calluses ,To dream that you have calluses symbolize hard work. You have be laboring over a difficult task or situation.
Calm ,"To dream that you are calm denotes a fulfilling life. You find contentment and satisfaction in what you have. To dream that someone is trying to calm you down suggestsÂ  that you will experience many setbacks, especially if you continue to let your emotions run out of control. "
Calomel ,To see calomel in your dream indicates a rivalry. To dream that you are taking calomel signifies that you are being manipulated and taken advantage of. It is time to open your eyes and not allow yourself to be stepped on. 
Calves ,"To see your calves in your dream symbolize movement and your ability to jump from situation to situation. In particular, if you are admiring your own calves, then it denotes a needy or codependent relationship."
Camel ,"To see a camel in your dream denotes that you need to be more conservative; you are carrying too many responsibilities, burdens and problems on your shoulders.Â You tend to hold on and cling on to your emotions instead of expressing and releasing them. Learn to forgive and forget. Alternatively, the camel represents your stamina."
Cameo ,"To see or wear a cameo in your dream represents an aspect of yourself that you are trying to express. Perhaps you are showing your delicate and feminize side. Alternatively, the dream may be a pun on a ""cameo"" appearance that you are making at some social gathering. "
Camera,"To see a camera in your dream signifies your desires to cling on and/or live in the past. Alternatively, it may indicate that you need to focus on a particular situation. Perhaps you need to get a clearer picture or idea."
Camouflage,"To dream that you are in camouflage suggests that you are hidingÂ  your true self and feelings. You are concealing who you really are. Alternatively, there is a situation in your waking life that is making you want to blend into the background and not get noticed. "
Camper,"To dream that you are living in a camper indicates that you need to move on with some situation or some aspect of your life. You may be dwelling on a situation and it is time to move forward. Alternatively, you may be expressing your desire to be more independent and self-sufficient."
Campfire,To start or see a campfire in your dream represents sharing and companionship. You need to open yourself to others and allow others to get to know you.
Camping,"To dream that you are camping indicates a need for relaxation and a long-deserved break.Â  You need to be more in touch with nature and go back to a more basic and simpler life. Alternatively, it refers to your social circle and support group. You are looking for a sense of belonging, but at the same time be self-sufficient and independent."
Campus ,"To dream that you are on a campus indicates your need to expand your thinking/knowledge and challenge yourself mentally. Can To see a can in your dream indicates that there is something in your past that you need to hold on to and preserve. The dream may also be a pun on how you ""can"" do something. Don't underestimate your abilities and talents. "
Can,"To see a can in your dream indicates that there is something in your past that you need to hold on to and preserve. The dream may also be a pun on how you ""can"" do something. Don't underestimate your abilities and talents."
Can Opener," To see a can opener in your dream indicates your willingness to accept new ideas and new concepts. It may also be a symbol of reassurance and a way to tell yourself that ""I can"" do something. "
Canada,"To dream that you are in Canada depends on your own personal associations with the country. If you have never been to Canada, then you will need to draw on your own preconceptions and feelings of the country."
Canal ,"To see a canal in your dream symbolizes restraint and constricted emotions. It also suggests that you are unyielding in your thinking and beliefs, which may hinder you in the pursuit of your goals. You are being too controlling. "
Canary,"To see a canary in your dream represents happiness and harmony. Alternatively, the dream could indicate your desires for a relationship or that a new relationship is blossoming. "
Cancel,To dream that you are canceling an appointment or plans suggests that you are afraid to confront some matter. You don't want to face the facts.
Cancer sign,"To dream that someone is a Cancer sign symbolizes your tendency to keep and hold on to everything. You have a lot of power and influence. The Cancer sign also indicates that you tend to be sensitive, moody and emotional.Â You are also very family oriented. "
Candle Wax,"To see candle wax in your dream indicates that there is too much activity going on in your life. You may need to slow down and take a breather. Alternatively, it may symbolize the passage of time."
Candy,"To see or eat candy in your dream symbolizes the joys and the special treats in life. It also represents indulgence, sensuality and/or forbidden pleasure. You may be devoting too much time to unimportant issues. A more direct interpretation suggests that you are eating too much candy and sweets."
Cane,To see or use a cane in your dream suggests that you are in need of some support and advice. The cane may also represent someone you trust and can rely on.
Canned Food,To see canned foods in your dream symbolizes the emotions that you are keeping inside. 
Cannibalism," To see cannibalism in your dream symbolizes a destructive and forbidden desire or obsession. Metaphorically, cannibals consume people's lives, along with their energy. Thus, this dream may then denote an aspect of your life (career, relationship, children, etc ), which is consistently draining your enthusiasm and vitality. "
Cannon,"To see a cannon in your dream suggests that there is something drastic that needs to be done immediately. According to the Freudian school of thought, the cannon symbolizes the penis."
Cannonball,To see a cannonball in your dream indicates that you are harboring some anger or aggression and it is weighing your down.
Canopy,To see a canopy in your dream symbolizes protection. You may also be elevated to a prominent position.
Cantaloupe,"To see or eat cantaloupe in your dream implies that you put forth a tough image, but are sensitive on the inside. Metaphorically, cantaloupes can refer to the breasts."
Canteen, To see or use a canteen in your dream suggests that you are looking to easily and conveniently satisfy your emotional needs. 
Canvas,"To see a canvas in your dream symbolizes potential and possibilities, especially if the canvas is blank. Consider the significance of what is on the canvas, as it is an aspect of your subconscious."
Canyon,To see a canyon in your dream represents your subconscious mind and hidden feelings. It may point to emotions and relationships that you did not recognize.
Cap,To see a cap in your dream signifies informality and ease. It also suggests that you need to be more tolerant of others.
Cap And Gown,To wear a cap and gown in your dream indicates that you are transitioning into a higher level in your life. You are ready to move on to the next stage. To see someone in a cap and gown in your dream symbolizes your successes and accomplishments.
Cape,To see or dream that you are wearing a cape indicates that you are trying to shield yourself from being emotionally hurt. It may also mean that you are trying to cover-up or hide something.
Captain,To dream that you are a captain indicates that you are taking charge of your emotions and confronting the issues that are bothering you.
Captive,"To dream that you are held captive suggests that you are feeling trapped in some aspect or circumstances of your waking life. You may feel trapped in your career, relationship or life in general. Alternatively, captivity dreams indicate something you are refusing to acknowledge or something that you are in denial about."
Car,"To dream that you are driving a car denotes your ambition, your drive and your ability to navigate from one stage of your life to another. Consider how smooth or rough the car ride is. If you are driving the car, then you are taking an active role in the way your life is going. However, if you are the passenger, then you are taking a passive role. If you are in the backseat of the car, then it indicates that you are putting yourself down and are allowing others to take over.Â This may be a result of low self-esteem or low self-confidence.Â  Overall, this dream symbol is an indication of your dependence and degree of control you have on your life."
Car Dealership,To see or dream that you are in a car dealership refers to some decision that you need to make about where you want to go in life. You are trying to figure out your life path.
Car Show,To dream that you are at a car show suggests that you are drawn to a flashy lifestyle which may not necessarily be who you really are.
Caramel,"To eat or lick caramel in your dream indicates a sweet and satisfying situation will eventually turn into ""sticky"" problem. If it sounds too good to be true, then it is really too good to be true."
Caravan,To dream that you are part of a caravan means that you will achieve your goals with the support of others. You do not need to do things by yourself.
Cardinal ,To see a cardinal in your dream represents vitality and happiness. It also may mean being in first place or your position at the front. 
Cards,"To dream that you are playing a game of cards represents your ability to strategize in various areas of your life. In particular, diamonds indicate wealth and materialism, clubs indicate work and industry, hearts indicate happiness in love, and spades indicate troubling times and disappointments."
Cargo,To dream that you are loading or carrying cargo refers to a heavy load that you are carrying around. You are feeling overburdened or overwhelmed.
Carnival ,"To dream that you are at the carnival represents falsehoods and deception. If you observe freakish sights, then it denotes a lack of harmony in your domestic life. Much sorrow will arise in what were thought to be pleasant times. "
Carp,"To see a carp in your dream indicates that you need to put aside your pride and ego and not let it get in the way of friendships and relationships. Alternatively, the carp is symbolic of patience, perseverance, determination, tenacity, courage and success."
Carpenter,"To see or dream that you are a carpenter indicates that you are confronting and overcoming your obstacles. Alternatively, it suggests that you need to change your way of thinking and readjust your attitude."
Carpet,"To see a carpet in your dream represents your way of protecting yourself from life's harsh realities. Alternatively, a carpet symbolizes luxury, comfort or richness. Consider the condition and designs of the carpet and how it parallels the foundation that you have laid for yourself in life. Perhaps the dream is telling you that you are refusing to confront some issue and instead are sweeping it under the carpet?"
Carriage, To see an old-fashioned carriage in your dream suggests that your ways of thinking may be too outdated and antiquated. The carriage is also a symbol of power and status. 
Carrom Board,"To see or play with a Carrom Board in your dream implies that you need to focus on your goals. Alternatively, the dream indicates that you are trying to shield or protect a loved one from some problem or issue."
Cartoon,"To dream that your real life is depicted in a cartoon world suggests that you are perceiving the world in a comical and unserious manner. This dream may also serve as an escape from the stressful realities of your life. It is your way of obtaining moments of lightheartedness and fun. Additionally, you need to learn to laugh at yourself and at your mistakes."
Cartwheels,To dream that you are doing cartwheels represent poise and balance in your life or the need to regain balance. You need to handle life's obstacle and stress with more fortitude.
Carving,"To dream that you are carving a piece of wood symbolizes spiritual and creative energy. Metaphorically, you are transforming subconscious energy into conscious awareness. Consider whether the carving is purely ornamental or utilitarian."
Cash Register,"To see a cash register in your dream represents financial worries and concerns. You are assessing your financial situation. On the other hand, you may be expecting monetary gains."
Cashmere,"To feel or wear cashmere in your dream symbolizes luxury. You strive for the finer things in life. Alternatively, dreaming of cashmere suggests that you are looking for warmth and comfort in your relationships."
Casket,"To see a casket in your dream symbolizes the womb. It also signifies your thoughts and fears of death. If the casket is empty, then it denotes irreconcilable differences. Alternatively, the coffin represents ideas and habits that are no longer of use and can be buried. In particular, if the casket is white, then it refers to lost innocence."
Cassowary,To see a cassowary in your dream refers to your shy nature. You try to avoid confrontation and arguments.
Castle,"To see a castle in your dream signifies reward, honor, recognition, and praise for your achievements. You are destined to a position of power, wealth, and prestige.Â Alternatively, the dream indicates your desire to escape from life's daily problems."
Dachshund,To see a Dachshund in your dream highlights your loyalty and devotion to others. You are well grounded and rational in your thinking.
"Dalai
Lama","To see the Dalai Lama in your dream represents spiritual enlightenment. There is some important message or advice that you need to take from such a dream.Â  Alternatively, dreaming of the Dalai Lama may be telling you not to focus on material wants and gains. You need to free yourself from your possessions."
Damn,"To dream that you are being damnedÂ indicates that you need to use caution in a new situation. You are also overly concerned with what others think of you. Alternatively, if someone damns you in your dream, then it means that you need to be more thick skinned and not let others get to you so easily."
Dance,"To dream that you are dancing signifies freedom from any constraints and restrictions. Your life is in balance and in harmony. Dancing also represents frivolity, happiness, gracefulness, sensuality and sexual desires. You need to incorporate these qualities in your waking life."
Dance Class,"To dream that you are in dance class indicates that you need to learn to let go. The dream may also be a metaphor that you are learning the steps to some new project, new process or new stage in your life."
Dance Floor,"To see a dance floor in your dream implies that you need to be more expressive. It is time to let loose. If there is no one on the dance floor, then it means that you are lacking an outlet to express yourself. You feel that you can't be who you really are."
Dandelion,"To see dandelions in your dream represent pleasant and joyous surroundings. You are content with where you are at in life. Alternatively, the dream seeks to bring your back to your childhood and past memories."
Dandruff,"To dream that you have dandruff indicates that you are misusing your energy. You may have been under a lot of stress and tension. You should rethink the way you are approaching any of your current problems. Alternatively, this dream may suggest a lack of self-esteem."
Darkness,"To dream that darkness comes upon you signifies failure in some work that you are attempting.Â  Darkness is synonymous with ignorance, the subconscious, evil, death, and fear of the unknown. If the sun breaks through the darkness, then you will overcome your failures. If you feel safe in the dark, then it suggests that you like not knowing about certain things. As some might say, ignorance is bliss."
Dartboard,"To see a dartboard in your dream indicates that you are feeling hostility from someone. You need to express your anger and feelings more directly. Alternatively, the dartboard may symbolize a goal that you are aiming for. You need to try and take a shot at something new and overcome your fear of failure."
Dashboard,ToÂ see a dashboard in your dream represents the status of your goals and of where you are headed in life.
Date,"To dream that you are on a date represents your need for self-discovery and self-awareness. You are getting to know some hidden aspects of yourself and acknowledging your hidden talents. Alternatively, it may reflect your anxieties about dating or finding acceptance. The dream may also be a ""rehearsal"" for an actual date you have. It serves to overcome anxieties you may have."
Dead,"To see or talk to the dead in your dream forewarns that you are being influenced by negative people and are hanging around the wrong crowd.Â This dream may also be a way for you to resolve your feelings with those who have passed on. Alternatively, the dream symbolizes material loss."
Death,"To dream about the death of a loved one suggests that you are lacking a certain aspect or quality that the loved one embodies. Ask yourself what makes this person special or what you like about them. It is that very quality that you are lacking in your own relationship or circumstances. Alternatively, the dream indicates that whatever that person represents has no part in your own life anymore.Â In particular, to dream about the death of your living parents indicates that you are undergoing a significant change in your waking life. Your relationship with your parents has evolved into a new realm.Â If you dream about the death of a child, then it implies that you need to let go of your immaturity and start being more serious. As your child reaches certain milestones and grows into an adult, dreaming of their death may be symbolic of their own self-discovery, transition and transformation into a new stage of life."
Death Penalty,"To dream that you are given the death penalty means that you need to reevaluate your life and the decisions that you are making. You are going on the wrong path. Alternatively, a death sentence means that you have a limited time to respond or to do something."
Debt,"To dream that you are in debt signifies imbalance, struggle, worry and trouble in some personal situation or business matter. Alternatively, it may indicate that you are putting too much demands of others."
Debutante Ball,"To attend a debutante ball in your dream represents a celebration of life. You are welcoming new experiences, changes and challenges."
Decapitation,*Please See Behead .
Decay,To see something decay in your dream signifies the degradation of a situation or circumstance. It may also represent the death of an old situation before the rebirth into a new stage.
